T,Headp_x,Headp_y,Headp_z,Headq_x,Headq_y,Headq_z,Headq_w,Leftp_x,Leftp_y,Leftp_z,Leftq_x,Leftq_y,Leftq_z,Leftq_w,Left_grip,Left_primary,Left_primary_x,Left_primary_y,Left_second,Left_second_x,Left_second_y,Rightp_x,Rightp_y,Rightp_z,Rightq_x,Rightq_y,Rightq_z,Rightq_w,Right_grip,Right_primary,Right_primary_x,Right_primary_y,Right_second,Right_second_x,Right_second_y,Eye_orix,Eye_oriy,Eye_oriz,Eye_dirx,Eye_diry,Eye_dirz,Eye_con,ntp_time,Pid
0.02000000,25.25854000,2.62249000,26.52182000,0.02345415,0.67923160,-0.10140710,0.72650600,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,1.18892300,1673861208.00000000,26.00000000
0.04000000,25.26585000,2.62075800,26.52103000,0.03246674,0.68135680,-0.10274350,0.72397700,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,0.83760350,1673861208.05882359,26.00000000
0.06000000,25.26831000,2.62046400,26.51904000,0.03390964,0.68333100,-0.10205080,0.72214570,nan,nan,nan,nan,nan,nan,nan,nan,1.00000000,0.41977180,0.90727370,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,1.00000000,-0.65616610,0.69662400,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,0.92188100,1673861208.11764717,26.00000000
0.08000000,25.26959000,2.62067600,26.51887000,0.03399731,0.68462300,-0.10127870,0.72102580,25.22580000,1.69532300,26.75796000,-0.08302789,0.78978860,-0.55164360,0.25500950,nan,1.00000000,0.41924870,0.90714650,nan,0.00000000,0.00000000,25.18656000,1.70949800,26.34710000,0.46125410,0.49501930,0.06706563,0.73328220,nan,1.00000000,-0.65672140,0.69657780,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673861208.17647076,26.00000000
0.09999999,25.26959000,2.62067600,26.51887000,0.03399731,0.68462300,-0.10127870,0.72102580,25.22580000,1.69532300,26.75796000,-0.08302789,0.78978860,-0.55164360,0.25500950,nan,1.00000000,0.41924870,0.90714650,nan,0.00000000,0.00000000,25.18656000,1.70949800,26.34710000,0.46125410,0.49501930,0.06706563,0.73328220,nan,1.00000000,-0.65672140,0.69657780,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673861208.23529434,26.00000000
0.12000000,25.27328000,2.62107700,26.51649000,0.03264743,0.68954920,-0.10003830,0.71655320,25.21496000,1.69199800,26.75506000,-0.06858274,0.78611090,-0.55898310,0.25468400,nan,1.00000000,0.41700910,0.90766690,nan,0.00000000,0.00000000,25.18828000,1.71408500,26.34070000,0.45968770,0.47995600,0.07807063,0.74312480,nan,1.00000000,-0.65672140,0.69657780,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673861208.29411793,26.00000000
0.14000000,25.27468000,2.62150600,26.51466000,0.02986718,0.69313900,-0.09952632,0.71327480,25.21092000,1.69034100,26.75246000,-0.05880754,0.78399830,-0.56099410,0.25917960,nan,1.00000000,0.41085430,0.90939340,nan,0.00000000,0.00000000,25.18886000,1.71690900,26.33807000,0.45761360,0.47459840,0.08462318,0.74711790,nan,1.00000000,-0.65640900,0.69715970,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673861208.35294151,26.00000000
0.16000000,25.27636000,2.62262700,26.51360000,0.02606508,0.69766610,-0.09854231,0.70913480,25.21296000,1.69001900,26.75479000,-0.06007629,0.76919590,-0.57014890,0.28223890,nan,1.00000000,0.39756920,0.91247090,nan,0.00000000,0.00000000,25.19023000,1.71982300,26.33511000,0.45523910,0.46995140,0.09009378,0.75085700,nan,1.00000000,-0.65514990,0.69749770,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673861208.41176510,26.00000000
0.18000000,25.27724000,2.62382000,26.51328000,0.02313410,0.70090930,-0.09703671,0.70624000,25.21749000,1.69052400,26.75919000,-0.07104583,0.75969010,-0.57743630,0.29050090,nan,1.00000000,0.37346780,0.91835240,nan,0.00000000,0.00000000,25.19088000,1.72134300,26.33390000,0.45353870,0.46926440,0.09178730,0.75210950,nan,1.00000000,-0.65359730,0.69800830,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673861208.47058868,26.00000000
0.20000000,25.27724000,2.62382000,26.51328000,0.02313410,0.70090930,-0.09703671,0.70624000,25.21749000,1.69052400,26.75919000,-0.07104583,0.75969010,-0.57743630,0.29050090,nan,1.00000000,0.37346780,0.91835240,nan,0.00000000,0.00000000,25.19088000,1.72134300,26.33390000,0.45353870,0.46926440,0.09178730,0.75210950,nan,1.00000000,-0.65359730,0.69800830,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673861208.52941227,26.00000000
