T,Headp_x,Headp_y,Headp_z,Headq_x,Headq_y,Headq_z,Headq_w,Leftp_x,Leftp_y,Leftp_z,Leftq_x,Leftq_y,Leftq_z,Leftq_w,Left_grip,Left_primary,Left_primary_x,Left_primary_y,Left_second,Left_second_x,Left_second_y,Rightp_x,Rightp_y,Rightp_z,Rightq_x,Rightq_y,Rightq_z,Rightq_w,Right_grip,Right_primary,Right_primary_x,Right_primary_y,Right_second,Right_second_x,Right_second_y,Eye_orix,Eye_oriy,Eye_oriz,Eye_dirx,Eye_diry,Eye_dirz,Eye_con,ntp_time,Pid
0.02000000,-725.24160000,26.62741000,-1039.83200000,0.11889990,0.90073350,-0.20789340,0.36238410,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,32.76800000,1673443397.00000000,5.00000000
0.04000000,-725.24110000,26.62621000,-1039.81600000,0.11983450,0.90262040,-0.21914990,0.35055590,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,32.76800000,1673443397.03846145,5.00000000
0.06000000,-725.25520000,26.62119000,-1039.83800000,0.11727020,0.90533390,-0.22327510,0.34171090,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,32.76800000,1673443397.07692289,5.00000000
0.08000000,-725.26070000,26.62053000,-1039.84600000,-0.11644680,-0.90686860,0.22489250,-0.33682780,-725.05920000,25.80463000,-1039.63000000,0.28896420,-0.84284830,0.29228110,-0.34738760,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.43210000,25.75553000,-1039.96900000,0.57378200,0.53025030,0.01785569,0.62393110,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,32.76800000,1673443397.11538434,5.00000000
0.09999999,-725.26070000,26.62053000,-1039.84600000,-0.11644680,-0.90686860,0.22489250,-0.33682780,-725.05920000,25.80463000,-1039.63000000,0.28896420,-0.84284830,0.29228110,-0.34738760,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.43210000,25.75553000,-1039.96900000,0.57378200,0.53025030,0.01785569,0.62393110,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,32.76800000,1673443397.15384579,5.00000000
0.12000000,-725.26450000,26.61930000,-1039.85000000,-0.11588670,-0.90835230,0.22674720,-0.33174120,-725.06300000,25.80477000,-1039.63400000,0.28873790,-0.84311050,0.28988310,-0.34894540,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.43570000,25.75542000,-1039.97100000,0.57462040,0.52599950,0.01839157,0.62673570,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,32.76800000,1673443397.19230723,5.00000000
0.14000000,-725.26780000,26.61885000,-1039.85400000,-0.11536010,-0.90928620,0.22834620,-0.32825090,-725.06530000,25.80467000,-1039.63600000,0.28755290,-0.84340340,0.28853890,-0.35032750,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.43820000,25.75504000,-1039.97000000,0.57457120,0.52426980,0.01805861,0.62823800,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.26000000,26.63000000,-1039.82000000,0.08000000,-0.48000000,-0.87000000,32.76800000,1673443397.23076868,5.00000000
0.16000000,-725.26790000,26.62691000,-1039.84700000,-0.11762150,-0.91194150,0.22458580,-0.32262850,-725.06890000,25.80438000,-1039.64000000,-0.28515370,0.84363540,-0.28691910,0.35304960,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.44200000,25.75419000,-1039.96900000,0.57423310,0.52244060,0.01724423,0.63009120,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.25000000,26.64000000,-1039.79000000,0.07000000,-0.49000000,-0.87000000,32.76800000,1673443397.26923013,5.00000000
0.18000000,-725.27360000,26.62285000,-1039.85500000,-0.11566160,-0.91337950,0.22776870,-0.31698840,-725.07280000,25.80403000,-1039.64300000,-0.28351690,0.84334090,-0.28558840,0.35613720,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.44670000,25.75316000,-1039.96900000,0.57415960,0.52055220,0.01628340,0.63174450,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.27000000,26.63000000,-1039.81000000,0.05000000,-0.50000000,-0.86000000,32.76800000,1673443397.30769157,5.00000000
0.20000000,-725.27360000,26.62285000,-1039.85500000,-0.11566160,-0.91337950,0.22776870,-0.31698840,-725.07280000,25.80403000,-1039.64300000,-0.28351690,0.84334090,-0.28558840,0.35613720,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.44670000,25.75316000,-1039.96900000,0.57415960,0.52055220,0.01628340,0.63174450,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.27000000,26.63000000,-1039.81000000,0.05000000,-0.50000000,-0.86000000,32.76800000,1673443397.34615302,5.00000000
0.22000000,-725.27600000,26.62151000,-1039.85500000,-0.11535110,-0.91517160,0.22990060,-0.31032370,-725.07630000,25.80388000,-1039.64600000,-0.28237160,0.84284560,-0.28385730,0.35958680,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.45210000,25.75216000,-1039.96800000,0.57416670,0.51879100,0.01492516,0.63321850,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.28000000,26.63000000,-1039.83000000,0.03000000,-0.50000000,-0.86000000,32.76800000,1673443397.38461447,5.00000000
0.24000000,-725.27830000,26.62098000,-1039.85600000,-0.11501540,-0.91641420,0.23130240,-0.30570540,-725.07820000,25.80388000,-1039.64700000,-0.28083680,0.84224980,-0.28235570,0.36334740,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.45610000,25.75104000,-1039.96700000,0.57393380,0.51761450,0.01320903,0.63442950,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.29000000,26.62000000,-1039.83000000,0.01000000,-0.51000000,-0.86000000,32.76800000,1673443397.42307591,5.00000000
0.26000000,-725.28150000,26.61800000,-1039.86500000,-0.11370510,-0.91752830,0.23324340,-0.30134770,-725.07980000,25.80385000,-1039.64800000,-0.27843820,0.84138110,-0.28126380,0.36802260,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.46040000,25.75011000,-1039.96700000,0.57396420,0.51554000,0.01156862,0.63612100,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.29000000,26.62000000,-1039.84000000,0.00000000,-0.51000000,-0.86000000,32.76800000,1673443397.46153736,5.00000000
0.28000000,-725.28300000,26.61691000,-1039.86500000,-0.11329280,-0.91907810,0.23319500,-0.29678340,-725.08110000,25.80337000,-1039.64900000,-0.27634250,0.84004930,-0.28086810,0.37291440,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.46560000,25.74904000,-1039.96600000,0.57474640,0.51264020,0.00988068,0.63778450,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.29000000,26.63000000,-1039.83000000,0.00000000,-0.50000000,-0.87000000,32.76800000,1673443397.49999881,5.00000000
0.30000000,-725.28300000,26.61691000,-1039.86500000,-0.11329280,-0.91907810,0.23319500,-0.29678340,-725.08110000,25.80337000,-1039.64900000,-0.27634250,0.84004930,-0.28086810,0.37291440,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.46560000,25.74904000,-1039.96600000,0.57474640,0.51264020,0.00988068,0.63778450,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.29000000,26.63000000,-1039.83000000,0.00000000,-0.50000000,-0.87000000,32.76800000,1673443397.53846025,5.00000000
0.32000000,-725.28610000,26.61560000,-1039.87000000,-0.11198500,-0.92073630,0.23275460,-0.29245380,-725.08240000,25.80299000,-1039.64900000,-0.27501270,0.83846880,-0.28110860,0.37724800,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.47050000,25.74752000,-1039.96500000,0.57646170,0.50899730,0.00799988,0.63917890,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.29000000,26.63000000,-1039.84000000,-0.02000000,-0.50000000,-0.86000000,32.76800000,1673443397.57692170,5.00000000
0.34000000,-725.29000000,26.61323000,-1039.87700000,-0.11091140,-0.92235230,0.23157440,-0.28868360,-725.08300000,25.80271000,-1039.64900000,-0.27446380,0.83649370,-0.28159020,0.38164780,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.47580000,25.74632000,-1039.96500000,0.57838120,0.50559560,0.00593641,0.64016650,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.30000000,26.63000000,-1039.84000000,-0.03000000,-0.51000000,-0.86000000,32.76800000,1673443397.61538315,5.00000000
0.36000000,-725.29230000,26.61289000,-1039.88100000,-0.10984340,-0.92390280,0.22976290,-0.28556460,-725.08330000,25.80263000,-1039.64800000,-0.27457720,0.83389770,-0.28252010,0.38652880,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.48120000,25.74512000,-1039.96400000,0.58056660,0.50306940,0.00354248,0.64019610,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.30000000,26.63000000,-1039.84000000,-0.05000000,-0.51000000,-0.86000000,32.76800000,1673443397.65384459,5.00000000
0.38000000,-725.29420000,26.61338000,-1039.88300000,-0.10882000,-0.92511620,0.22810630,-0.28334720,-725.08330000,25.80280000,-1039.64600000,-0.27373450,0.83093750,-0.28465710,0.39189640,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.48660000,25.74406000,-1039.96300000,0.58262980,0.50158940,0.00046277,0.63949230,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.30000000,26.63000000,-1039.84000000,-0.05000000,-0.51000000,-0.86000000,32.76800000,1673443397.69230604,5.00000000
0.40000000,-725.29420000,26.61338000,-1039.88300000,-0.10882000,-0.92511620,0.22810630,-0.28334720,-725.08330000,25.80280000,-1039.64600000,-0.27373450,0.83093750,-0.28465710,0.39189640,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.48660000,25.74406000,-1039.96300000,0.58262980,0.50158940,0.00046277,0.63949230,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.30000000,26.63000000,-1039.84000000,-0.05000000,-0.51000000,-0.86000000,32.76800000,1673443397.73076749,5.00000000
