T,Headp_x,Headp_y,Headp_z,Headq_x,Headq_y,Headq_z,Headq_w,Leftp_x,Leftp_y,Leftp_z,Leftq_x,Leftq_y,Leftq_z,Leftq_w,Left_grip,Left_primary,Left_primary_x,Left_primary_y,Left_second,Left_second_x,Left_second_y,Rightp_x,Rightp_y,Rightp_z,Rightq_x,Rightq_y,Rightq_z,Rightq_w,Right_grip,Right_primary,Right_primary_x,Right_primary_y,Right_second,Right_second_x,Right_second_y,Eye_orix,Eye_oriy,Eye_oriz,Eye_dirx,Eye_diry,Eye_dirz,Eye_con,ntp_time,Pid
0.02000000,-725.29490000,26.62844000,-1040.11400000,0.05326580,-0.42875900,0.02854159,0.90139560,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,0.53193360,1673866067.00000000,28.00000000
0.04000000,-725.29410000,26.62466000,-1040.11500000,0.05494843,-0.42837180,0.03277313,0.90133460,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,0.63698190,1673866067.50000000,28.00000000
0.06000000,-725.29330000,26.62324000,-1040.11600000,0.05896037,-0.42732290,0.03621574,0.90144730,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,0.66531630,1673866068.00000000,28.00000000
0.08000000,-725.29290000,26.62274000,-1040.11600000,0.06159519,-0.42676740,0.03815715,0.90145420,-725.52510000,26.31763000,-1040.02200000,-0.41573500,-0.39672460,0.07520495,0.81493460,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.45110000,26.27599000,-1039.88900000,-0.10059490,-0.43850840,-0.25471840,0.85598460,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,0.41570910,1673866068.02222228,28.00000000
0.09999999,-725.29290000,26.62274000,-1040.11600000,0.06159519,-0.42676740,0.03815715,0.90145420,-725.52510000,26.31763000,-1040.02200000,-0.41573500,-0.39672460,0.07520495,0.81493460,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.45110000,26.27599000,-1039.88900000,-0.10059490,-0.43850840,-0.25471840,0.85598460,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,0.41570910,1673866068.04444456,28.00000000
0.12000000,-725.29190000,26.62089000,-1040.11700000,0.06812308,-0.42528260,0.04183366,0.90152310,-725.52620000,26.31681000,-1040.02200000,-0.41307070,-0.40104770,0.07574894,0.81412240,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.45030000,26.27716000,-1039.88900000,-0.10824680,-0.43400040,-0.24257090,0.86086330,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,0.44484330,1673866068.06666684,28.00000000
0.14000000,-725.29160000,26.61889000,-1040.11700000,0.07486368,-0.42425810,0.04541134,0.90129810,-725.52710000,26.31574000,-1040.02300000,-0.41151140,-0.40369990,0.07760827,0.81342600,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.45000000,26.27764000,-1039.88900000,-0.10994670,-0.43266150,-0.23503040,0.86340980,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.25000000,26.64000000,-1040.12000000,-0.75000000,-0.23000000,0.62000000,0.81571500,1673866068.08888912,28.00000000
0.16000000,-725.29130000,26.61570000,-1040.11800000,0.08587977,-0.42306100,0.05143113,0.90055480,-725.52830000,26.31409000,-1040.02300000,-0.40676270,-0.40950030,0.07720302,0.81295350,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.44930000,26.27861000,-1039.88800000,-0.11094540,-0.43039500,-0.23051560,0.86562910,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.29000000,26.64000000,-1040.16000000,-0.68000000,-0.38000000,0.63000000,nan,1673866068.11111140,28.00000000
0.18000000,-725.29130000,26.61298000,-1040.11900000,0.09488606,-0.42192660,0.05568415,0.89992990,-725.52870000,26.31274000,-1040.02300000,-0.40362790,-0.41206570,0.07837662,0.81310730,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.44830000,26.27971000,-1039.88800000,-0.11499970,-0.42791030,-0.22886800,0.86676830,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673866068.13333368,28.00000000
0.20000000,-725.29130000,26.61298000,-1040.11900000,0.09488606,-0.42192660,0.05568415,0.89992990,-725.52870000,26.31274000,-1040.02300000,-0.40362790,-0.41206570,0.07837662,0.81310730,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-725.44830000,26.27971000,-1039.88800000,-0.11499970,-0.42791030,-0.22886800,0.86676830,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673866068.15555596,28.00000000
