T,Headp_x,Headp_y,Headp_z,Headq_x,Headq_y,Headq_z,Headq_w,Leftp_x,Leftp_y,Leftp_z,Leftq_x,Leftq_y,Leftq_z,Leftq_w,Left_grip,Left_primary,Left_primary_x,Left_primary_y,Left_second,Left_second_x,Left_second_y,Rightp_x,Rightp_y,Rightp_z,Rightq_x,Rightq_y,Rightq_z,Rightq_w,Right_grip,Right_primary,Right_primary_x,Right_primary_y,Right_second,Right_second_x,Right_second_y,Eye_orix,Eye_oriy,Eye_oriz,Eye_dirx,Eye_diry,Eye_dirz,Eye_con,ntp_time,Pid
0.02000000,-0.70129910,2.60481200,-1.48983700,0.13256100,-0.73088570,-0.09005582,-0.66341820,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-0.70000000,2.60000000,-1.49000000,0.95000000,0.31000000,-0.10000000,nan,1673619161.00000000,18.00000000
0.04000000,-0.60206610,2.60602900,-1.52183600,0.12946690,-0.72099370,-0.07982574,-0.67604320,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673619161.06250000,18.00000000
0.06000000,-0.59315350,2.60615100,-1.52581600,0.13386970,-0.71122030,-0.07831278,-0.68564710,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-0.60000000,2.61000000,-1.52000000,0.95000000,0.29000000,-0.07000000,nan,1673619161.12500000,18.00000000
0.08000000,-0.68169810,2.60382000,-1.50008700,0.14189020,-0.70909230,-0.08756721,-0.68511860,-0.49277200,1.72104400,-1.36938700,0.02271413,-0.80919920,0.25449540,-0.52906810,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-0.43093470,1.70668300,-1.69766700,-0.24629580,-0.65608690,0.04979022,-0.71162460,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673619161.18750000,18.00000000
0.09999999,-0.68169810,2.60382000,-1.50008700,0.14189020,-0.70909230,-0.08756721,-0.68511860,-0.49277200,1.72104400,-1.36938700,0.02271413,-0.80919920,0.25449540,-0.52906810,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-0.43093470,1.70668300,-1.69766700,-0.24629580,-0.65608690,0.04979022,-0.71162460,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673619161.25000000,18.00000000
0.12000000,-0.68840260,2.60342600,-1.49863900,0.14380410,-0.70012920,-0.08778106,-0.69385450,-0.48923410,1.71981700,-1.35500600,0.02722443,-0.79602000,0.26616170,-0.54292630,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-0.42756250,1.70757000,-1.67265900,-0.23592920,-0.64429470,0.05140472,-0.72565800,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-0.68000000,2.60000000,-1.50000000,0.95000000,0.32000000,-0.03000000,nan,1673619161.31250000,18.00000000
0.14000000,-0.69000360,2.60338000,-1.49777900,0.14432490,-0.69665970,-0.08808695,-0.69719180,-0.48926820,1.71871100,-1.34896600,0.02846438,-0.79232600,0.27332670,-0.54470360,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-0.43387750,1.70318600,-1.65958300,-0.23468870,-0.63698150,0.05287664,-0.73237960,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-0.69000000,2.60000000,-1.50000000,0.95000000,0.33000000,0.00000000,nan,1673619161.37500000,18.00000000
0.16000000,-0.69126410,2.60337700,-1.49812400,0.14502310,-0.69295200,-0.08858922,-0.70066970,-0.48964330,1.71765600,-1.34300900,0.02861670,-0.78906960,0.27979380,-0.54613730,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-0.43818770,1.69982100,-1.64798600,-0.23530600,-0.62759320,0.05506714,-0.74008490,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-0.69000000,2.60000000,-1.50000000,0.95000000,0.33000000,0.00000000,nan,1673619161.43750000,18.00000000
0.18000000,-0.69134870,2.60352700,-1.49790100,0.14541270,-0.69050650,-0.08913279,-0.70293060,-0.49105780,1.71653200,-1.33795900,0.02842757,-0.78697990,0.28544300,-0.54623890,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-0.44563990,1.69547700,-1.63570600,-0.23887130,-0.61674780,0.05718832,-0.74785850,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-0.69000000,2.60000000,-1.50000000,0.94000000,0.33000000,0.00000000,nan,1673619161.50000000,18.00000000
0.20000000,-0.69134870,2.60352700,-1.49790100,0.14541270,-0.69050650,-0.08913279,-0.70293060,-0.49105780,1.71653200,-1.33795900,0.02842757,-0.78697990,0.28544300,-0.54623890,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-0.44563990,1.69547700,-1.63570600,-0.23887130,-0.61674780,0.05718832,-0.74785850,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-0.69000000,2.60000000,-1.50000000,0.94000000,0.33000000,0.00000000,nan,1673619161.56250000,18.00000000
0.22000000,-0.69119260,2.60374400,-1.49830200,0.14598540,-0.68759040,-0.08972497,-0.70559010,-0.49424760,1.71476800,-1.33029200,0.03036541,-0.78372680,0.29644990,-0.54494750,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-0.45862110,1.68773000,-1.61918800,-0.24600040,-0.59895500,0.06172014,-0.75955750,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,-0.69000000,2.60000000,-1.50000000,0.94000000,0.33000000,0.01000000,nan,1673619161.62500000,18.00000000
