T,Headp_x,Headp_y,Headp_z,Headq_x,Headq_y,Headq_z,Headq_w,Leftp_x,Leftp_y,Leftp_z,Leftq_x,Leftq_y,Leftq_z,Leftq_w,Left_grip,Left_primary,Left_primary_x,Left_primary_y,Left_second,Left_second_x,Left_second_y,Rightp_x,Rightp_y,Rightp_z,Rightq_x,Rightq_y,Rightq_z,Rightq_w,Right_grip,Right_primary,Right_primary_x,Right_primary_y,Right_second,Right_second_x,Right_second_y,Eye_orix,Eye_oriy,Eye_oriz,Eye_dirx,Eye_diry,Eye_dirz,Eye_con,ntp_time,Pid
0.02000000,8.18692200,2.27827500,5.27903900,-0.05261949,-0.99602330,-0.05571182,-0.04544296,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,32.76800000,1673768909.00000000,21.00000000
0.04000000,8.17872400,2.27794900,5.27965800,-0.05256033,-0.99720750,-0.05303567,0.00133069,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,6.37518800,1673768909.01639342,21.00000000
0.06000000,8.17429400,2.27787800,5.27913900,-0.05313227,-0.99704560,-0.05280156,0.01700477,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,6.52553000,1673768909.03278685,21.00000000
0.08000000,8.17327300,2.27778900,5.27914400,-0.05345795,-0.99695580,-0.05286590,0.02065840,8.40829000,1.36411200,5.24201700,0.24101390,-0.90972640,0.32843510,-0.08025326,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,7.97995300,1.34201000,5.19347300,0.39815180,0.81497120,-0.33980080,0.24866160,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,32.76800000,1673768909.04918027,21.00000000
0.09999999,8.17327300,2.27778900,5.27914400,-0.05345795,-0.99695580,-0.05286590,0.02065840,8.40829000,1.36411200,5.24201700,0.24101390,-0.90972640,0.32843510,-0.08025326,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,7.97995300,1.34201000,5.19347300,0.39815180,0.81497120,-0.33980080,0.24866160,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,32.76800000,1673768909.06557369,21.00000000
0.12000000,8.16906200,2.27790900,5.27815500,-0.05418315,-0.99658950,-0.05290308,0.03278335,8.40324800,1.36499300,5.23071500,0.24767880,-0.91134400,0.32244160,-0.06433284,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,7.97341100,1.34079300,5.20119800,0.39048320,0.81902460,-0.34848920,0.23511050,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,12.68647000,1673768909.08196712,21.00000000
0.14000000,8.16794400,2.27793900,5.27814300,-0.05445328,-0.99645330,-0.05299506,0.03615503,8.40189000,1.36553100,5.22723500,0.24982850,-0.91187630,0.32016550,-0.05967687,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,7.97156900,1.34042900,5.20358900,0.38807280,0.82019880,-0.35103690,0.23118490,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,8.15000000,2.28000000,5.31000000,0.11000000,0.03000000,-0.99000000,3.59177800,1673768909.09836054,21.00000000
0.16000000,8.16551800,2.27810500,5.27738300,-0.05491420,-0.99615760,-0.05325081,0.04264653,8.39728300,1.36621700,5.21940800,0.25416930,-0.91269120,0.31607970,-0.04986356,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,7.96780300,1.33976000,5.20828100,0.38331840,0.82243780,-0.35594210,0.22353610,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,8.15000000,2.28000000,5.31000000,0.10000000,0.03000000,-0.99000000,32.76800000,1673768909.11475396,21.00000000
0.18000000,8.16455000,2.27810400,5.27742300,-0.05505200,-0.99601030,-0.05349473,0.04550937,8.39583300,1.36679000,5.21605700,0.25610130,-0.91310310,0.31401530,-0.04526822,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,7.96616600,1.33946100,5.21041100,0.38099400,0.82350720,-0.35828720,0.21979480,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,8.15000000,2.28000000,5.32000000,0.03000000,0.03000000,-1.00000000,32.76800000,1673768909.13114738,21.00000000
0.20000000,8.16455000,2.27810400,5.27742300,-0.05505200,-0.99601030,-0.05349473,0.04550937,8.39583300,1.36679000,5.21605700,0.25610130,-0.91310310,0.31401530,-0.04526822,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,7.96616600,1.33946100,5.21041100,0.38099400,0.82350720,-0.35828720,0.21979480,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,8.15000000,2.28000000,5.32000000,0.03000000,0.03000000,-1.00000000,32.76800000,1673768909.14754081,21.00000000
0.22000000,8.16247800,2.27827900,5.27724200,-0.05530586,-0.99572330,-0.05374424,0.05087217,8.39158100,1.36729300,5.20896100,0.25999220,-0.91373200,0.31013270,-0.03627213,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,7.96310700,1.33898300,5.21413600,0.37654770,0.82562090,-0.36250500,0.21249010,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,8.14000000,2.28000000,5.32000000,-0.21000000,0.03000000,-0.98000000,nan,1673768909.16393423,21.00000000
