T,Headp_x,Headp_y,Headp_z,Headq_x,Headq_y,Headq_z,Headq_w,Leftp_x,Leftp_y,Leftp_z,Leftq_x,Leftq_y,Leftq_z,Leftq_w,Left_grip,Left_primary,Left_primary_x,Left_primary_y,Left_second,Left_second_x,Left_second_y,Rightp_x,Rightp_y,Rightp_z,Rightq_x,Rightq_y,Rightq_z,Rightq_w,Right_grip,Right_primary,Right_primary_x,Right_primary_y,Right_second,Right_second_x,Right_second_y,Eye_orix,Eye_oriy,Eye_oriz,Eye_dirx,Eye_diry,Eye_dirz,Eye_con,ntp_time,Pid
0.02000000,8.35146000,2.39643800,4.72422300,0.03027297,0.17157560,-0.01627609,0.98457120,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,3.31785900,1673767680.00000000,20.00000000
0.04000000,8.31160400,2.41216000,4.69406800,0.04219110,0.20571840,-0.01849268,0.97752640,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,3.57913200,1673767680.07692313,20.00000000
0.06000000,8.31301900,2.41075300,4.69225800,0.04904164,0.21940070,-0.02123710,0.97417000,nan,nan,nan,nan,nan,nan,nan,nan,1.00000000,0.38882100,-0.33513840,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,1.00000000,-0.60059280,-0.33164770,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,32.76800000,1673767680.15384626,20.00000000
0.08000000,8.31399800,2.41025300,4.69190200,0.05441401,0.22835160,-0.02276811,0.97179030,8.34279300,1.90384200,4.93701700,0.04455218,0.13041470,0.09661789,0.98573430,nan,1.00000000,0.40289960,-0.36608350,nan,0.00000000,0.00000000,8.47733900,1.91460200,4.83038200,-0.03137713,0.22367210,-0.07761528,0.97106240,nan,1.00000000,-0.59721160,-0.33480420,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,32.76800000,1673767680.23076940,20.00000000
0.09999999,8.31399800,2.41025300,4.69190200,0.05441401,0.22835160,-0.02276811,0.97179030,8.34279300,1.90384200,4.93701700,0.04455218,0.13041470,0.09661789,0.98573430,nan,1.00000000,0.40289960,-0.36608350,nan,0.00000000,0.00000000,8.47733900,1.91460200,4.83038200,-0.03137713,0.22367210,-0.07761528,0.97106240,nan,1.00000000,-0.59721160,-0.33480420,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,32.76800000,1673767680.30769253,20.00000000
0.12000000,8.31531300,2.40859100,4.69052600,0.06164174,0.24088970,-0.02511643,0.96826740,8.35392800,1.90980100,4.93777600,0.04049072,0.15149390,0.11461700,0.98095520,nan,1.00000000,0.41954390,-0.36764820,nan,0.00000000,0.00000000,8.48789000,1.92293700,4.82897000,-0.04703106,0.24098710,-0.07602637,0.96640220,nan,1.00000000,-0.59628500,-0.33572730,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,32.76800000,1673767680.38461566,20.00000000
0.14000000,8.31665400,2.40831800,4.69047700,0.06341465,0.24474100,-0.02628574,0.96715530,8.35705000,1.91237300,4.93782800,0.03845322,0.15716350,0.12527090,0.97884020,nan,1.00000000,0.43182640,-0.36614570,nan,0.00000000,0.00000000,8.49193400,1.92536400,4.82834100,-0.05073078,0.24819170,-0.07999577,0.96406850,nan,1.00000000,-0.59616200,-0.33645920,nan,0.00000000,0.00000000,8.34000000,2.41000000,4.68000000,0.32000000,-0.33000000,0.89000000,32.76800000,1673767680.46153879,20.00000000
0.16000000,8.31736600,2.40711200,4.69061300,0.06494094,0.24873250,-0.02743766,0.96600310,8.36018600,1.91495000,4.93791400,0.03461455,0.16195960,0.13059730,0.97750460,nan,1.00000000,0.46175010,-0.36070900,nan,0.00000000,0.00000000,8.49656400,1.92818200,4.82790000,-0.05570595,0.25600770,-0.08147650,0.96162280,nan,1.00000000,-0.60080300,-0.33750000,nan,0.00000000,0.00000000,8.34000000,2.41000000,4.68000000,0.32000000,-0.37000000,0.87000000,32.76800000,1673767680.53846192,20.00000000
0.18000000,8.31928700,2.40650300,4.69018100,0.06800715,0.25617800,-0.02957882,0.96378060,8.36623800,1.92040700,4.93801300,0.02426790,0.17041600,0.13613270,0.97562150,nan,1.00000000,0.50293670,-0.35532300,nan,0.00000000,0.00000000,8.50308700,1.93313800,4.82575100,-0.06662272,0.26992910,-0.07675926,0.95750080,nan,1.00000000,-0.60080300,-0.33750000,nan,0.00000000,0.00000000,8.31000000,2.43000000,4.65000000,0.37000000,-0.41000000,0.83000000,32.76800000,1673767680.61538506,20.00000000
0.20000000,8.31928700,2.40650300,4.69018100,0.06800715,0.25617800,-0.02957882,0.96378060,8.36623800,1.92040700,4.93801300,0.02426790,0.17041600,0.13613270,0.97562150,nan,1.00000000,0.50293670,-0.35532300,nan,0.00000000,0.00000000,8.50308700,1.93313800,4.82575100,-0.06662272,0.26992910,-0.07675926,0.95750080,nan,1.00000000,-0.60080300,-0.33750000,nan,0.00000000,0.00000000,8.31000000,2.43000000,4.65000000,0.37000000,-0.41000000,0.83000000,32.76800000,1673767680.69230819,20.00000000
