T,Headp_x,Headp_y,Headp_z,Headq_x,Headq_y,Headq_z,Headq_w,Leftp_x,Leftp_y,Leftp_z,Leftq_x,Leftq_y,Leftq_z,Leftq_w,Left_grip,Left_primary,Left_primary_x,Left_primary_y,Left_second,Left_second_x,Left_second_y,Rightp_x,Rightp_y,Rightp_z,Rightq_x,Rightq_y,Rightq_z,Rightq_w,Right_grip,Right_primary,Right_primary_x,Right_primary_y,Right_second,Right_second_x,Right_second_y,Eye_orix,Eye_oriy,Eye_oriz,Eye_dirx,Eye_diry,Eye_dirz,Eye_con,ntp_time,Pid
0.02000000,8.59341800,2.40353000,4.59113800,-0.09819204,0.41927610,0.07067211,0.89976190,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,1.99828500,1673861623.00000000,26.00000000
0.04000000,8.59424400,2.40442600,4.62432900,-0.09829994,0.39610910,0.08060431,0.90936110,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,2.33544300,1673861623.01818180,26.00000000
0.06000000,8.59512100,2.40456500,4.63680100,-0.09797016,0.38880380,0.08295211,0.91233350,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,2.27871200,1673861623.03636360,26.00000000
0.08000000,8.59494600,2.40419800,4.64007400,-0.09798637,0.38672070,0.08293909,0.91321790,8.73888300,1.77433400,4.71139000,-0.21493100,0.63900320,0.03874929,0.73754880,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,8.73899500,1.61449700,4.60069300,-0.00185171,0.33155340,0.00719379,0.94340720,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673861623.05454540,26.00000000
0.09999999,8.59494600,2.40419800,4.64007400,-0.09798637,0.38672070,0.08293909,0.91321790,8.73888300,1.77433400,4.71139000,-0.21493100,0.63900320,0.03874929,0.73754880,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,8.73899500,1.61449700,4.60069300,-0.00185171,0.33155340,0.00719379,0.94340720,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673861623.07272720,26.00000000
0.12000000,8.59597000,2.40436800,4.65224400,-0.09782121,0.38019920,0.08354240,0.91591500,8.73755900,1.76564400,4.72092400,-0.20249560,0.64780320,0.03146276,0.73372790,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,8.74249700,1.60895100,4.61462000,0.00514490,0.31998010,0.01454530,0.94729860,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673861623.09090900,26.00000000
0.14000000,8.59628100,2.40448100,4.65617300,-0.09786826,0.37811790,0.08334790,0.91678890,8.73720400,1.76357600,4.72445500,-0.19361520,0.65082370,0.03294500,0.73338690,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,8.74333500,1.60761400,4.61841500,0.00639248,0.31781390,0.01166173,0.94805990,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673861623.10909081,26.00000000
0.16000000,8.59686600,2.40483100,4.66396300,-0.09776960,0.37368460,0.08286735,0.91865870,8.73689900,1.75905200,4.73174400,-0.17753310,0.65460380,0.03423312,0.73403270,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,8.74513500,1.60473800,4.62627600,0.00942200,0.31305770,0.00918422,0.94964300,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673861623.12727261,26.00000000
0.18000000,8.59691300,2.40460700,4.67096300,-0.09760343,0.36943410,0.08270377,0.92040870,8.73751300,1.75555300,4.73907700,-0.16581080,0.65246730,0.03317273,0.73871030,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,8.74668100,1.60183500,4.63343700,0.01406015,0.31026860,0.00621433,0.95052470,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673861623.14545441,26.00000000
0.20000000,8.59691300,2.40460700,4.67096300,-0.09760343,0.36943410,0.08270377,0.92040870,8.73751300,1.75555300,4.73907700,-0.16581080,0.65246730,0.03317273,0.73871030,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,8.74668100,1.60183500,4.63343700,0.01406015,0.31026860,0.00621433,0.95052470,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673861623.16363621,26.00000000
0.22000000,8.59740500,2.40467000,4.67842200,-0.09747197,0.36539000,0.08271454,0.92203450,8.73868900,1.75178100,4.74845600,-0.15410830,0.64924680,0.03602074,0.74393000,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,8.74849100,1.59901200,4.64176600,0.01812181,0.30655810,0.00264569,0.95167570,nan,nan,0.00000000,0.00000000,nan,0.00000000,0.00000000,nan,nan,nan,nan,nan,nan,nan,1673861623.18181801,26.00000000
